x	y
1.547	2.3475
1.299	3.7775
1.391	2.3725
1.383	3.5225
0.793	3.4075
0.133	3.2375
1.179	1.4525
1.101	1.3675
1.743	1.2675
1.359	2.1825
1.639	2.9025
1.293	3.1325
1.719	2.3275
0.719	2.2075
1.527	1.3425
1.563	3.8825
1.197	0.4225
0.345	2.3525
0.757	2.9475
0.521	1.9025
1.661	1.4175
1.081	3.2775
0.991	1.5675
1.525	3.6125
1.145	1.7975
1.733	1.8625
1.683	3.1175
0.973	0.2425
1.313	1.7625
1.011	1.5725
1.367	2.4175
1.007	3.9525
1.085	1.7925
0.409	2.5025
1.141	2.9775
1.137	1.6475
1.425	2.9375
1.243	3.9175
0.967	2.7925
0.517	0.9825
0.729	2.6475
1.483	1.9375
0.513	3.4425
1.031	2.3325
1.185	3.0475
1.297	2.3625
0.637	4.7275
1.591	2.6275
0.641	2.0325
1.637	1.3525
0.887	4.2725
1.387	2.5575
1.273	1.9225
1.579	4.2325
1.407	4.2175
0.699	1.7675
0.597	1.6625
1.063	2.5925
1.367	2.8375
1.141	1.7775
0.857	1.0675
1.355	2.3925
0.905	3.3975
0.419	3.5625
1.161	1.3175
1.677	3.2475
0.997	4.4375
0.657	2.8725
1.453	0.6375
0.937	3.0925
0.555	1.7075
1.263	2.5975
1.417	3.1175
1.163	3.0825
0.869	2.2875
0.873	3.3575
1.175	2.2625
1.687	2.2625
1.103	2.2175
1.295	3.3325
1.039	0.9575
1.091	1.5575
0.799	2.5375
0.243	2.9375
0.935	2.5875
1.773	2.7625
0.981	1.6425
0.683	1.4175
0.923	2.4075
1.151	3.5925
0.743	3.3425
1.255	3.6725
0.847	1.7825
0.545	2.7375
1.181	4.0675
0.739	3.0525
0.989	2.5825
1.153	2.9025
0.689	2.4825
1.277	1.1575
1.041	2.4225
0.627	2.1475
1.201	1.7025
1.531	3.5075
1.539	2.3075
0.609	2.1775
0.523	1.4475
1.001	3.9825
1.277	2.7175
1.163	2.3425
0.799	3.4525
1.275	0.7225
1.647	3.1075
0.587	0.9875
1.447	2.1975
1.613	3.6625
0.485	3.6425
0.817	2.4175
1.073	3.1325
1.139	2.5925
0.847	2.0075
1.401	0.8325
0.421	1.8425
1.523	1.6025
0.875	3.1825
0.581	3.0775
0.541	2.9425
0.677	2.9275
0.339	2.8925
1.657	0.9325
1.299	1.6125
1.385	3.7425
0.675	3.1225
1.397	2.5425
1.163	3.9725
0.957	3.8725
1.245	2.4425
0.585	0.9675
0.513	2.8025
0.809	2.5825
0.527	3.3975
