id	n = 1	n = 2
573	1.9605	1.7015
574	2.4805	3.2655
575	2.5695	3.8945
576	1.8195	3.2895
577	2.5325	3.5735
578	2.1755	0.5305
579	2.2295	3.0915
580	3.5705	1.6895
581	3.1265	0.9265
582	3.4255	2.9615
583	2.2795	1.5805
584	1.4015	1.5365
585	4.0085	1.8215
586	2.0325	1.7825
587	2.4075	2.2165
588	3.4225	1.5385
589	2.0725	1.0135
590	2.7895	1.8925
591	2.2185	1.3995
592	3.8715	2.7865
593	2.0345	1.3355
594	2.9325	3.6955
595	3.5435	1.4805
596	3.4755	0.5655
597	2.0055	3.6285
598	2.8865	3.5945
599	1.5695	1.4015
600	2.0855	4.0785
601	2.4655	1.5285
602	2.5565	1.1575
603	3.5965	4.2515
604	1.2485	1.9885
605	2.0805	0.7205
606	2.1635	0.6035
607	3.1165	3.1195
608	1.0835	1.6715
609	1.7115	3.4085
610	3.3195	0.8875
611	1.2165	3.5705
612	2.5645	1.7305
613	3.0875	3.8045
614	1.2425	3.1055
615	2.2885	1.4935
616	3.3445	1.2195
617	2.4725	3.4815
618	4.2005	4.1175
619	1.6515	3.8845
620	3.1875	1.0055
621	2.4875	3.7805
622	3.5745	3.4535
623	4.0505	3.8115
624	2.8745	0.9165
625	3.0185	4.2915
626	2.3185	1.3705
627	3.4855	3.3095
628	3.2545	4.4155
629	2.7005	1.0305
630	1.3625	3.8835
631	2.8955	1.1395
632	1.8045	3.1425
633	2.4365	3.3865
634	1.8695	3.4645
635	2.0215	1.1565
636	2.1935	1.3975
637	1.1165	3.6825
638	2.3805	1.5755
639	2.5515	4.3335
640	1.9635	1.1995
641	2.2885	1.0915
642	2.7195	1.0855
643	0.3175	3.4385
644	1.9625	0.8005
645	2.0325	3.3015
646	1.8545	0.4795
647	0.9385	1.4725
648	3.4585	3.7265
649	2.1145	4.3795
650	3.0095	2.0585
651	2.7975	4.0435
652	2.0215	1.4125
653	1.2875	1.7455
654	2.9365	1.7405
655	1.6575	0.9015
656	2.2755	3.0485
657	2.9645	3.9315
658	1.9605	1.0665
659	1.4945	1.9975
660	0.9015	0.7135
661	2.1615	2.0475
662	2.9655	0.8665
663	3.4165	3.5765
664	1.8445	3.4395
665	3.4705	1.4025
666	1.1985	3.6655
667	0.5905	3.9225
668	3.8415	1.2315
669	2.9505	1.0075
670	1.3575	2.8785
671	4.4305	4.0195
672	2.5925	1.1025
673	3.2145	0.7985
674	4.4465	3.7995
675	1.7275	2.9985
676	1.1045	3.0225
677	1.8355	1.5195
678	3.1005	1.3885
679	1.7845	1.5485
680	1.4695	1.7125
681	3.0945	3.3175
682	2.6245	0.5515
683	0.4375	1.2235
684	2.9635	1.0595
685	2.3695	2.4225
686	1.6745	0.7255
687	0.8105	4.3055
688	1.9005	2.8785
689	1.8405	1.2345
690	2.4375	3.8485
691	2.5135	4.8275
692	1.6685	4.1045
693	1.6785	4.0135
694	2.4245	4.2775
695	1.3085	1.4465
696	3.5945	1.4395
697	4.5575	4.0965
698	2.6585	1.1105
699	3.0955	1.1785
700	1.5395	4.0035
701	1.7355	1.2965
702	1.0965	0.7475
703	2.5005	4.0355
704	2.5895	0.4245
705	2.5035	3.7565
706	2.8045	1.4075
707	1.7505	3.1765
708	1.7605	3.8885
709	1.2515	4.0915
710	1.3255	3.7655
711	3.0085	4.1145
712	4.2505	1.1095
713	4.2755	1.6975
714	1.9685	3.4625
715	3.6095	3.3575
716	3.6065	4.4105
717	0.9295	2.7145
718	2.2855	2.9205
719	3.5725	1.9475
720	3.9035	3.8565
721	2.2085	3.5655
722	2.5785	3.2805
723	4.0385	1.4945
724	3.2745	3.3295
725	2.0775	2.8595
726	2.0705	1.9715
727	1.5185	1.9385
728	3.3175	4.4835
729	0.9335	3.7215
730	3.9295	4.0325
731	3.8755	1.6665
732	1.7405	0.7265
733	3.9795	4.2785
734	2.6235	3.5035
735	1.9765	0.5895
736	0.7625	3.2545
737	2.1555	3.4095
738	2.0975	3.7095
739	2.4765	1.4325
740	3.3295	1.3585
741	3.6155	2.0145
742	1.7015	2.1155
743	2.9285	1.7755
744	2.9735	0.7435
745	1.6245	3.9065
746	3.3945	0.1015
747	2.3595	1.5065
748	2.3395	0.7165
749	2.8275	4.4865
750	3.0035	3.7945
751	1.3205	3.2305
752	2.9685	1.0745
753	2.6815	1.0625
754	2.6545	1.5295
755	3.7515	3.4705
756	3.9065	1.6125
757	3.1115	3.5465
758	3.0925	4.1615
759	3.4495	2.0915
760	2.2775	3.3025
761	3.0255	1.7515
762	1.3685	3.4095
763	2.5985	0.6365
764	3.7605	3.8715
765	3.6875	3.5455
766	1.8995	1.1665
767	2.9745	4.2175
768	0.9205	1.4895
769	2.3125	1.1765
770	1.7255	0.7165
771	1.9265	3.5995
772	2.3065	3.9545
773	2.6725	3.8175
774	2.9065	1.5975
775	2.4275	2.1835
776	4.1085	1.5845
777	1.0685	3.6435
778	3.1045	3.9895
779	3.1425	1.7925
780	0.4015	1.4945
781	3.5765	3.5005
782	2.9225	4.1575
783	4.0295	1.3815
784	0.8885	2.7785
785	1.0785	0.9515
786	2.4285	1.5205
787	3.4015	1.6375
788	3.4675	2.1405
789	1.7575	1.5925
790	2.3655	0.6905
791	1.6455	1.4945
792	1.0195	4.0165
793	3.3165	3.6655
794	2.8455	3.2945
795	1.8635	0.7215
796	2.0595	3.8785
797	1.9395	0.9945
798	2.8015	3.8925
799	1.2965	3.9155
800	2.1635	1.4075
801	1.3715	2.9315
802	3.3435	3.9075
803	2.7095	4.7655
804	3.0515	2.0635
805	0.7405	3.8185
806	2.2095	1.5085
807	2.6445	4.0545
808	2.5455	3.1205
809	3.5365	4.4405
